occscheme,occtype,occ_desc,occ_array,occ_array_cleansed
ATC,13,Light Fabrication and Assembly,"Millwork, Envelopes, Apparel mills, Sales and balances, Wood kitchen cabinets, Wood pallets and skids, Sanitary paper products, Printing and publishing, Watches clocks and parts, Small arms and ammunition, Engine electrical equipment, Stationery products and bags, Leather tanning and finishing, Typewriters and office machines, Automotive and apparel trimmings, Instruments to measure electricity, Footwear luggage and leather goods, Gaskets packing and sealing devices, Calculating and accounting machines, Radio TV and communications equipment, Lead pencils and art goods manufacturing, Concrete lime gypsum and abrasive products, Household and office furniture and fixtures, Curtains and draperies and house furnishings, Engineering medical photographic instruments, Electric lighting fixtures and wiring devices, Broad and narrow fabrics yarn and thread mills, Miscellaneous textile goods and floor coverings, Jewelry silverware musical instruments manufacturing, Administrative, Warehouse, Manufacturing,Assembly, Warehouse,Bone Cement, Print Shop,Land,Manufacturing,Manufacturing, Administrative, Laboratories  Development,Manufacturing, Warehouse,Research,Office, Repair Center,Office, Research Labs,Office, Service Center, Warehousing,Development,Office, Manufacture, Whse,Office, Manufacturing,Office,,Production,Warehouse, Lab","Millwork, Envelopes, Apparel mills, Sales and balances, Wood kitchen cabinets, Wood pallets and skids, Sanitary paper products, Printing and publishing, Watches clocks and parts, Small arms and ammunition, Engine electrical equipment, Stationery products and bags, Leather tanning and finishing, Typewriters and office machines, Automotive and apparel trimmings, Instruments to measure electricity, Footwear luggage and leather goods, Gaskets packing and sealing devices, Calculating and accounting machines, Radio TV and communications equipment, Lead pencils and art goods manufacturing, Concrete lime gypsum and abrasive products, Household and office furniture and fixtures, Curtains and draperies and house furnishings, Engineering medical photographic instruments, Electric lighting fixtures and wiring devices, Broad and narrow fabrics yarn and thread mills, Miscellaneous textile goods and floor coverings, Jewelry silverware musical instruments manufacturing, Administrative, Warehouse, Manufacturing,Assembly, Warehouse,Bone Cement, Print Shop,Land,Manufacturing,Manufacturing, Administrative, Laboratories  Development,Manufacturing, Warehouse,Research,Office, Repair Center,Office, Research Labs,Office, Service Center, Warehousing,Development,Office, Manufacture, Whse,Office, Manufacturing,Office,Production,Warehouse, Lab"
ATC,14,Food and Drugs Processing,"Cooking oils, Ice manufacturing, Tobacco manufacturers, Food manufacturing plants, Wines liquor soda coffee manufacturing plants, Box Plant,CFB - Hastings, NE,Cold Storage,Cold Storage   Public Warehouse,Elevator - Anan, NE,Elevator - Chester, NE,Elevator - Fairfield, NE,Elevator - Hastings, NE (Garvey),Elevator - Lincoln, NE (South),Grain - Ayr, NE,Grain - Bovina, TX,Grain - Clays Corner, TX,Grain - Cowles, NE,Grain - Farmers Corner, NM,Grain - Farwell, TX,Grain - Lariat, TX,Grain - Lazbuddie, TX,Grain - Magnet, NE,Grain - Muriel, NE,Grain - Pauline, NE,Grain - Rhea, TX,Grain - Roseland, NE,Grain - Rosemont, NE,Grain - Tam Anne, TX,Grain - Texico, NM,Grain - Wausa, NE,Grays Harbor, WA,Kitchen (Manufacturing),Kitchen (Manufacturing) - Campus Meat,Kitchen (Manufacturing) - Campus Produce,Main Plant,Meat Processing,Methy Ester - Sergeant Bluff, IA,Methyl Ester - Algona, IA,Methyl Ester - St,Joseph, MO,Office Meat Processing Plant Warehouse,Primary Beans
(56,000,000 lbs),Primary Meat (124,673,000 lbs),Primary Meat
(170,626,000 lbs),Refinery - Eagle Grove, IA,Refinery - Hastings, NE,Refinery - St,Rockmart Plant,Soup
(65,000,000 lbs),Soy - Dawson, MN,Soy - Eagle Grove, IA,Soy - Emmetsburg, IA,Soy - Hastings, NE,Soy - Manning, IA,Soy - Mason City, IA,Soy - Sergeant Bluff, IA,Soy - Sheldon, IA,Soy - St,Joseph, MO (Soy)","Cooking oils, Ice manufacturing, Tobacco manufacturers, Food manufacturing plants, Wines liquor soda coffee manufacturing plants, Box Plant,CFB  Hastings, NE,Cold Storage,Cold Storage   Public Warehouse,Elevator  Anan, NE,Elevator  Chester, NE,Elevator  Fairfield, NE,Elevator  Hastings, NE (Garvey),Elevator  Lincoln, NE (South),Grain  Ayr, NE,Grain  Bovina, TX,Grain  Clays Corner, TX,Grain  Cowles, NE,Grain  Farmers Corner, NM,Grain  Farwell, TX,Grain  Lariat, TX,Grain  Lazbuddie, TX,Grain  Magnet, NE,Grain  Muriel, NE,Grain  Pauline, NE,Grain  Rhea, TX,Grain  Roseland, NE,Grain  Rosemont, NE,Grain  Tam Anne, TX,Grain  Texico, NM,Grain  Wausa, NE,Grays Harbor, WA,Kitchen (Manufacturing),Kitchen (Manufacturing)  Campus Meat,Kitchen (Manufacturing)  Campus Produce,Main Plant,Meat Processing,Methy Ester  Sergeant Bluff, IA,Methyl Ester  Algona, IA,Methyl Ester  St,Joseph, MO,Office Meat Processing Plant Warehouse,Primary Beans
(, lbs),Primary Meat (, lbs),Primary Meat
(, lbs),Refinery  Eagle Grove, IA,Refinery  Hastings, NE,Refinery  St,Rockmart Plant,Soup
(, lbs),Soy  Dawson, MN,Soy  Eagle Grove, IA,Soy  Emmetsburg, IA,Soy  Hastings, NE,Soy  Manning, IA,Soy  Mason City, IA,Soy  Sergeant Bluff, IA,Soy  Sheldon, IA,Soy  St,Joseph, MO (Soy)"
ATC,15,Chemicals Processing,"Drugs, Plastics and rubber, Gum and food chemicals, Paints and allied products, Fertilizers and agricultural chemicals, Soaps detergents polishes sanitation goods, Adhesives sealants explosives printing ink, ","Drugs, Plastics and rubber, Gum and food chemicals, Paints and allied products, Fertilizers and agricultural chemicals, Soaps detergents polishes sanitation goods, Adhesives sealants explosives printing ink, "
ATC,16,Metal and Minerals Processing,"Minerals, Pottery products, Asbestos products, Cement brick clay products, Porcelain electric supplies, Iron and steel manufacturing, Glass containers and products, Nonferrous metals manufacturing, Paving mixtures and blocks asphalt, Vitreous plumbing fixtures and china utensils, ","Minerals, Pottery products, Asbestos products, Cement brick clay products, Porcelain electric supplies, Iron and steel manufacturing, Glass containers and products, Nonferrous metals manufacturing, Paving mixtures and blocks asphalt, Vitreous plumbing fixtures and china utensils, "
ATC,17,High Technology,"X-ray apparatus and tubes, Electronic computing equipment, Electronic components and semiconductors, ","Xray apparatus and tubes, Electronic computing equipment, Electronic components and semiconductors, "
ATC,18,Construction,"Storage and maintenance facilities of a construction company., ","Storage and maintenance facilities of a construction company, "
ATC,19,Petroleum,"Lubricating oils and greases, Pipe lines except natural gas, Petroleum refining and coal products, Ground Fuel Tank Dispenser,Fuel PointShelter,/Tanks","Lubricating oils and greases, Pipe lines except natural gas, Petroleum refining and coal products, Ground Fuel Tank Dispenser,Fuel PointShelter,Tanks"
ATC,20,Agriculture,"Forestry products, Commercial fishing, Forest and nursery products, Sugar crops and oil bearing crops, Livestock dairy farm products eggs, Landscape and horticultural services, Agricultural forestry and fishery services, Cotton grains tobacco fruits nuts vegetables, Farmer,Farm,Veg ","Forestry products, Commercial fishing, Forest and nursery products, Sugar crops and oil bearing crops, Livestock dairy farm products eggs, Landscape and horticultural services, Agricultural forestry and fishery services, Cotton grains tobacco fruits nuts vegetables, Farmer,Farm,Veg "
ATC,21,Mining,"Coal mining, Offshore drilling towers, Crude petroleum and natural gas, Stone and clay mining and quarrying, Chemical and fertilizer mineral mining, Iron ferroalloy ores and nonferrous metal ores mining, ","Coal mining, Offshore drilling towers, Crude petroleum and natural gas, Stone and clay mining and quarrying, Chemical and fertilizer mineral mining, Iron ferroalloy ores and nonferrous metal ores mining, "
ATC,22,Religion and Nonprofit,"Social services, Religious organizations, Membership organizations, Business labor and civic organizations, Church","Social services, Religious organizations, Membership organizations, Business labor and civic organizations, Church"
ATC,23,General Services,"Social services, U.S. postal service, Government industry, Local government passenger transit, Federal state and local electric utilities, Other federal state and local government enterprises, shelter,office,police,theater,library,auditorium,zoo,museum,arena,court,city","Social services, US postal service, Government industry, Local government passenger transit, Federal state and local electric utilities, Other federal state and local government enterprises, shelter,office,police,theater,library,auditorium,zoo,museum,arena,court,city"
ATC,24,Emergency Response Services,"Other federal state and local government enterprises, ","Other federal state and local government enterprises, "
